BeltSpeed,IndexSpeed,GantrySpeed1,GantrySpeed2,Makespan,Profit,Configuration
fast,slow,fast,slow,301.995,-180000.0,"Belt=fast, Index=slow, Gantry1=fast, Gantry2=slow"
fast,slow,fast,normal,299.909285714285,-180000.0,"Belt=fast, Index=slow, Gantry1=fast, Gantry2=normal"
fast,normal,slow,slow,217.289428571429,2286874.6356011685,"Belt=fast, Index=normal, Gantry1=slow, Gantry2=slow"
fast,normal,slow,normal,213.084857142857,1594255.7831632998,"Belt=fast, Index=normal, Gantry1=slow, Gantry2=normal"
fast,normal,slow,fast,216.963285714286,931549.0859804498,"Belt=fast, Index=normal, Gantry1=slow, Gantry2=fast"
fast,normal,normal,slow,196.82,2365630.690319577,"Belt=fast, Index=normal, Gantry1=normal, Gantry2=slow"
fast,normal,normal,normal,194.734285714286,1461681.2140663564,"Belt=fast, Index=normal, Gantry1=normal, Gantry2=normal"
fast,normal,normal,fast,194.1325,963727.7990835439,"Belt=fast, Index=normal, Gantry1=normal, Gantry2=fast"
fast,normal,fast,slow,195.245,2004827.3185728472,"Belt=fast, Index=normal, Gantry1=fast, Gantry2=slow"
fast,normal,fast,normal,193.159285714286,1016045.8284147605,"Belt=fast, Index=normal, Gantry1=fast, Gantry2=normal"
fast,normal,fast,fast,192.5575,478438.8532479252,"Belt=fast, Index=normal, Gantry1=fast, Gantry2=fast"
fast,fast,slow,slow,212.371,2029089.7150749732,"Belt=fast, Index=fast, Gantry1=slow, Gantry2=slow"
fast,fast,slow,normal,208.223428571429,1246615.1398492623,"Belt=fast, Index=fast, Gantry1=slow, Gantry2=normal"
fast,fast,slow,fast,207.251678571429,781170.1191897877,"Belt=fast, Index=fast, Gantry1=slow, Gantry2=fast"
fast,fast,normal,slow,175.438571428572,2882402.731554255,"Belt=fast, Index=fast, Gantry1=normal, Gantry2=slow"
fast,fast,normal,normal,161.573428571429,2596506.8288432434,"Belt=fast, Index=fast, Gantry1=normal, Gantry2=normal"
fast,fast,normal,fast,159.006964285714,2222063.658190254,"Belt=fast, Index=fast, Gantry1=normal, Gantry2=fast"
fast,fast,fast,slow,156.427714285714,3418269.4590259977,"Belt=fast, Index=fast, Gantry1=fast, Gantry2=slow"
fast,fast,fast,normal,152.679,2577864.32610235,"Belt=fast, Index=fast, Gantry1=fast, Gantry2=normal"
fast,fast,fast,fast,151.642964285714,2093164.4228036813,"Belt=fast, Index=fast, Gantry1=fast, Gantry2=fast"
